Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu
Akhisar,130,1,26,1,0,0,0,0,2100000.0,3,1,1.0,3,0,0,1,0,1
Akhisar,140,2,26,1,1,0,0,0,2450000.0,3,1,4.0,3,0,1,0,0,0
Akhisar,130,1,26,0,0,0,0,0,1750000.0,3,1,0.0,1,0,1,0,0,1
Sehzadeler,119,1,31,0,0,0,1,0,2100000.0,2,1,0.0,1,0,1,0,0,2
Akhisar,226,1,32,0,0,0,0,0,810000.0,3,1,3.0,1,0,0,1,0,2
Akhisar,130,1,26,0,0,0,0,0,1975000.0,3,1,3.0,1,0,0,1,0,1
Saruhanli,354,1,32,0,0,0,1,1,1780000.0,2,1,0.5,1,0,0,0,1,2
Salihli,160,1,21,1,1,1,0,0,2750000.0,3,1,5.0,3,0,0,1,0,2
Salihli,174,2,3,0,0,0,1,0,7300000.0,2,1,3.0,3,0,0,0,1,0
Turgutlu,100,1,20,0,0,0,0,0,2099000.0,2,1,4.0,3,0,0,1,0,1
Akhisar,130,1,21,0,0,0,0,1,1980000.0,3,1,0.0,3,0,0,0,1,2
Ahmetli,145,1,5,0,1,0,0,0,2900000.0,3,1,0.5,3,0,1,0,0,1
Akhisar,220,2,11,0,1,1,0,0,3500000.0,5,1,2.0,3,0,0,0,1,1
Sehzadeler,120,1,26,1,0,0,1,0,3450000.0,1,1,0.0,3,0,1,0,0,2
Turgutlu,110,1,7,1,0,0,0,0,2650000.0,2,1,3.0,3,0,0,1,0,2
Salihli,60,1,10,0,0,0,0,1,1900000.0,1,1,3.0,1,0,1,0,0,1
Yunusemre,220,2,2,0,1,1,0,0,13500000.0,4,1,3.0,3,0,1,0,0,2
Turgutlu,280,3,0,0,1,0,1,0,8500000.0,5,1,6.0,3,0,1,0,0,1
Akhisar,140,1,6,0,1,1,0,0,3075000.0,3,1,3.0,3,0,0,0,1,2
Salihli,90,1,0,1,1,1,1,0,3675000.0,2,1,5.0,3,2,1,0,0,1
Kirkagac,120,2,0,0,1,1,0,0,3400000.0,3,1,2.0,3,2,1,0,0,1
Akhisar,140,1,7,0,0,1,0,0,3500000.0,3,1,2.0,3,0,1,0,0,1
Saruhanli,90,1,1,0,1,0,1,0,2750000.0,2,1,3.0,3,0,1,0,0,2
Yunusemre,110,1,4,1,1,0,0,0,4000000.0,2,1,0.5,3,0,1,0,0,1
Yunusemre,60,1,3,0,0,0,0,0,3600000.0,1,1,0.0,3,0,1,0,0,1
Akhisar,130,2,0,0,0,1,0,0,3550000.0,2,1,1.0,3,0,1,0,0,2
Akhisar,115,1,0,0,1,1,1,0,2585000.0,2,1,3.0,3,2,1,0,0,1
