Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Akhisar,140,1,1. Kat,26 Yaşında,Klima,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,2100000.0,3,1
Sehzadeler,105,1,En Üst Kat,25 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0,3,1
Yunusemre,225,2,4. Kat,16 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,8850000.0,4,1
Akhisar,90,1,2. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1
Salihli,145,2,4. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2850000.0,2,1
Turgutlu,115,1,3. Kat,25 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2950000.0,2,1
Yunusemre,100,1,Çatı Katı,29 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2850000.0,3,1
Akhisar,100,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2500000.0,2,1
Yunusemre,135,1,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4850000.0,3,1
Alasehir,150,1,En Üst Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3000000.0,3,1
Yunusemre,160,2,Yüksek Giriş,1 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7950000.0,3,1
Turgutlu,100,1,Ara Kat,25 Yaşında,Kombi,Var,Yok,Yok,-,-,Kat Mülkiyeti,-,Eşyalı Değil,2300000.0,2,1
Saruhanli,101,1,Ara Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2300000.0,2,1
Sehzadeler,105,2,Yüksek Giriş,2 Yaşında,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,2,1
Yunusemre,65,1,4. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2450000.0,1,1
Yunusemre,140,1,Giriş Katı,30 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,3950000.0,3,1
Soma,95,1,3. Kat,5 Yaşında,Merkezi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,-,-,2650000.0,2,1
Sehzadeler,498,1,-,49 Yaşında,Soba,Yok,Yok,Var,İkinci El,Boş,Arsa,Hayır,Eşyalı Değil,3950000.0,4,1
Akhisar,90,1,1. Kat,31 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2550000.0,2,1
