Fiyat,Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric,oda_sayisi,salon_sayisi
2.750.000 TL,Yunusemre,85,1,4. Kat,7 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,-,Eşyalı Değil,2750000.0,2,1
8.250.000 TL,Yunusemre,185,1,1. Kat,11 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,8250000.0,3,1
7.000.000 TL,Turgutlu,175,2,4. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,7000000.0,3,1
5.250.000 TL,Yunusemre,145,1,3. Kat,5 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,5250000.0,3,1
3.300.000 TL,Yunusemre,70,1,2. Kat,1 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3300000.0,2,1
3.500.000 TL,Yunusemre,90,1,2. Kat,6 Yaşında,Kombi,Yok,Yok,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3500000.0,2,1
2.600.000 TL,Salihli,150,1,4. Kat,16 Yaşında,Jeotermal Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2600000.0,3,1
4.250.000 TL,Akhisar,135,2,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4250000.0,3,1
2.950.000 TL,Saruhanli,105,1,Yüksek Giriş,5 Yaşında,Kombi,Var,Yok,Yok,-,-,Kat İrtifakı,-,-,2950000.0,2,1
3.300.000 TL,Salihli,135,-,-,-,-,Yok,Yok,Yok,-,-,-,-,-,3300000.0,3,1
2.850.000 TL,Turgutlu,110,1,Ara Kat,4 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2850000.0,2,1
6.200.000 TL,Sehzadeler,215,1,1. Kat,26 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6200000.0,2,1
3.600.000 TL,Sehzadeler,70,1,Ara Kat,Sıfır Bina,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3600000.0,2,1
