Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu
6.500.000 TL,Saruhanli,4 + 1,140,1,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı
3.250.000 TL,Akhisar,2 + 1,3,1,-,10 Yaşında,Soba,Var,Yok,Yok,İkinci El,Boş,Arsa,Evet,Eşyalı Değil
3.000.000 TL,Akhisar,3 + 0,145,1,Yüksek Giriş,30 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.150.000 TL,Salihli,3 + 1,150,1,Bodrum,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,-
4.000.000 TL,Kula,2 + 1,11,1,-,9 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil
3.850.000 TL,Yunusemre,2 + 1,99,1,3. Kat,2 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.600.000 TL,Yunusemre,1 + 1,55,1,2. Kat,5 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Müstakil Tapulu,-,Eşyalı
40.000 TL,Salihli,3 + 1,285,1,-,40 Yaşında,Klima,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-
2.600.000 TL,Saruhanli,2 + 1,90,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil
3.200.000 TL,Akhisar,2 + 1,110,1,2. Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı
2.350.000 TL,Akhisar,-,-,-,-,-,-,Yok,Yok,Yok,-,-,-,-,-
