Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu
7.500.000 TL,Turgutlu,4 + 1,255,3,4. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,-
3.250.000 TL,Salihli,4 + 1,275,1,Bahçe Katı,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
2.980.000 TL,Akhisar,2 + 1,95,1,3. Kat,5 Yaşında,Kombi,Var,Var,Var,-,-,Müstakil Tapulu,-,-
6.250.000 TL,Salihli,4 + 1,175,2,4. Kat,2 Yaşında,Kombi,Yok,Var,Var,-,-,Kat İrtifakı,-,Eşyalı Değil
3.650.000 TL,Yunusemre,2 + 1,105,1,4. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
3.250.000 TL,Yunusemre,1 + 1,60,1,Yüksek Giriş,2 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.750.000 TL,Sehzadeler,3 + 1,125,1,1. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
4.350.000 TL,Saruhanli,3 + 1,140,1,2. Kat,1 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
6.200.000 TL,Sehzadeler,8 + 3,318,3,-,21 Yaşında,Soba,Yok,Yok,Var,-,Boş,Tapu Yok,Evet,Eşyalı Değil
3.050.000 TL,Yunusemre,2 + 1,80,1,3. Kat,6 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı
5.750.000 TL,Yunusemre,2 + 1,115,1,Yüksek Giriş,11 Yaşında,Kombi,Var,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
3.000.000 TL,Yunusemre,1 + 1,58,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
7.500.000 TL,Yunusemre,3 + 1,160,2,10. Kat,15 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil
5.800.000 TL,Turgutlu,3 + 1,135,2,Ara Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil
5.250.000 TL,Akhisar,4 + 2,677,2,-,25 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil
3.750.000 TL,Turgutlu,2 + 1,100,1,Ara Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.750.000 TL,Yunusemre,1 + 1,60,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
4.300.000 TL,Saruhanli,3 + 1,145,2,1. Kat,5 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,-,Eşyalı Değil
4.250.000 TL,Akhisar,3 + 1,130,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.800.000 TL,Akhisar,3 + 1,130,1,3. Kat,25 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil
4.500.000 TL,Turgutlu,3 + 1,205,2,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
6.500.000 TL,Turgutlu,3 + 1,190,2,1. Kat,Sıfır Bina,Yerden Isıtma,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
4.800.000 TL,Turgutlu,3 + 1,157,2,3. Kat,4 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
5.500.000 TL,Yunusemre,1 + 1,55,1,3. Kat,15 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Müstakil Tapulu,-,Eşyalı Değil
1.750.000 TL,Turgutlu,2 + 1,85,1,3. Kat,21 Yaşında,Klima,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı
18.500.000 TL,Yunusemre,4 + 1,170,2,Bahçe Katı,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
1.350.000 TL,Akhisar,2 + 1,95,1,En Üst Kat,28 Yaşında,Kombi,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-
3.650.000 TL,Yunusemre,3 + 1,125,1,5. Kat,21 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
2.950.000 TL,Turgutlu,2 + 2,201,2,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat İrtifakı,Evet,-
3.250.000 TL,Salihli,2 + 1,95,1,4. Kat,4 Yaşında,Jeotermal Isıtm...,Yok,Yok,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,-
1.875.000 TL,Akhisar,3 + 1,125,1,4. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
6.950.000 TL,Salihli,3 + 1,269,1,Bahçe Katı,16 Yaşında,Doğalgaz Sobası,Yok,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
6.800.000 TL,Akhisar,3 + 1,175,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
2.750.000 TL,Turgutlu,3 + 10,140,1,Yüksek Giriş,16 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.499.000 TL,Turgutlu,3 + 1,145,1,Yüksek Giriş,11 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
9.000.000 TL,Akhisar,4 + 2,135,1,-,9 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Belirtilmemiş,Kat İrtifakı,Hayır,-
4.950.000 TL,Yunusemre,3 + 1,130,1,3. Kat,5 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
3.750.000 TL,Sehzadeler,3 + 1,125,2,En Üst Kat,28 Yaşında,Kombi,Yok,Var,Yok,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.250.000 TL,Turgutlu,3 + 1,160,1,Zemin,6 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
5.000.000 TL,Yunusemre,3 + 1,196,1,3. Kat,11 Yaşında,Klima,Yok,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil
2.975.000 TL,Soma,3 + 1,135,2,2. Kat,7 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.400.000 TL,Yunusemre,2 + 1,90,2,2. Kat,Sıfır Bina,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
5.500.000 TL,Akhisar,3 + 1,160,2,1. Kat,4 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
4.100.000 TL,Akhisar,4 + 1,170,2,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil
3.550.000 TL,Yunusemre,-,-,-,-,-,-,Yok,Yok,Yok,-,-,-,-,-
5.650.000 TL,Turgutlu,3 + 1,135,2,3. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
2.500.000 TL,Turgutlu,2 + 1,100,1,2. Kat,31 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.850.000 TL,Salihli,2 + 1,95,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,-,Kat Mülkiyeti,Hayır,-
4.500.000 TL,Sehzadeler,3 + 1,130,1,Ara Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
3.650.000 TL,Turgutlu,2 + 1,130,1,4. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
7.650.000 TL,Sehzadeler,5 + 2,195,3,Villa Katı,6 Yaşında,Kat Kaloriferi,Var,Yok,Var,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil
1.995.000 TL,Saruhanli,1 + 1,55,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
3.750.000 TL,Turgutlu,2 + 1,100,1,1. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.990.000 TL,Sehzadeler,3 + 1,180,1,Ara Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil
3.975.000 TL,Sehzadeler,2 + 1,115,1,Ara Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
5.300.000 TL,Sehzadeler,2 + 1,100,1,2. Kat,31 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
5.650.000 TL,Sehzadeler,3 + 1,155,2,Ara Kat,28 Yaşında,Kombi,Var,Var,Yok,-,-,Kat Mülkiyeti,-,-
4.425.000 TL,Akhisar,3 + 1,132,2,3. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil
2.900.000 TL,Turgutlu,3 + 1,120,1,2. Kat,7 Yaşında,Kombi,Yok,Var,Yok,-,-,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.500.000 TL,Alasehir,3 + 1,190,2,4. Kat,5 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
1.150.000 TL,Akhisar,3 + 1,109,1,-,40 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.450.000 TL,Yunusemre,3 + 1,115,1,2. Kat,25 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
6.750.000 TL,Akhisar,3 + 1,128,2,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.600.000 TL,Yunusemre,2 + 1,95,1,2. Kat,5 Yaşında,Kombi,Var,Yok,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.300.000 TL,Turgutlu,3 + 1,129,1,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
8.200.000 TL,Yunusemre,3 + 1,170,1,1. Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-
3.000.000 TL,Salihli,3 + 1,130,1,Zemin,30 Yaşında,Doğalgaz Sobası,Yok,Yok,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.500.000 TL,Turgutlu,3 + 1,110,1,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil
9.500.000 TL,Turgutlu,5 + 1,2,1,-,3 Yaşında,Kat Kaloriferi,Yok,Yok,Yok,-,-,-,-,Eşyalı Değil
4.850.000 TL,Akhisar,6 + 1,300,2,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil
4.800.000 TL,Akhisar,5 + 1,270,3,3. Kat,1 Yaşında,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil
3.850.000 TL,Salihli,3 + 1,125,1,2. Kat,26 Yaşında,Soba,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil
3.450.000 TL,Sehzadeler,3 + 1,125,1,Yüksek Giriş,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.990.000 TL,Turgutlu,5 + 1,190,2,Bahçe Katı,26 Yaşında,Doğalgaz Sobası,Yok,Yok,Yok,-,Kiracılı,Müstakil Tapulu,Evet,Eşyalı Değil
3.400.000 TL,Yunusemre,3 + 1,435,1,Bahçe Katı,34 Yaşında,Soba,Yok,Var,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
9.500.000 TL,Turgutlu,5 + 1,300,3,4. Kat,5 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil
3.350.000 TL,Yunusemre,2 + 1,80,1,Yüksek Giriş,4 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil
3.550.000 TL,Salihli,3 + 1,145,1,1. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,-
4.800.000 TL,Sehzadeler,3 + 1,120,1,2. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
4.800.000 TL,Yunusemre,3 + 1,130,1,3. Kat,25 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
15.000.000 TL,Yunusemre,5 + 1,380,2,3. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil
5.549.000 TL,Saruhanli,5 + 1,185,1,5. Kat,Sıfır Bina,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
3.950.000 TL,Turgutlu,3 + 1,125,2,Yüksek Giriş,5 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,-
5.500.000 TL,Turgutlu,3 + 1,135,2,Teras Katı,Sıfır Bina,Kombi,Var,Yok,Yok,Sıfır,Boş,Kat Mülkiyeti,-,Eşyalı Değil
1.950.000 TL,Akhisar,3 + 1,120,-,4. Kat,35 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
16.250.000 TL,Akhisar,6 + 1,282,3,Bahçe Katı,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
1.900.000 TL,Turgutlu,1 + 1,100,1,4. Kat,16 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,-
3.300.000 TL,Akhisar,3 + 1,135,1,4. Kat,15 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil
