Baslik,Fiyat,Il,Ilce,Mahalle,Konum,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Cephe,Yön,Aidat,Krediye Uygun,Takas,Site İçinde,Güvenlik,Eşya Durumu,İlan Durumu,Ilan_No,Ilan_Tarihi,Link,Cekilme_Tarihi
"REAL,den SATILIK UNCU BOZKÖYDE İYİ KONUMDA 3+1 BÜYÜK DAİRE",6.350.000 TL,Manisa,Yunusemre,Uncubozkoy Mah.,Manisa / Yunusemre / Uncubozkoy Mah.,3 + 1,160,1,2. Kat,26 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,17068-1399,26-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-uncubozkoy-satilik/daire/17068-1399,2025-12-03 18:03:12
Manisa Yunusemre 50.Yıl Mah. Fırsat 1+1 Yatırıma Uygun Daire,2.500.000 TL,Manisa,Yunusemre,50 Mah.,Manisa / Yunusemre / 50 Mah.,1 + 1,50,1,Yüksek Giriş,2 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",etin,200 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,95753-2079,15-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-50-yil-satilik/daire/95753-2079,2025-12-03 18:03:32
SATILIK BARBAROSDA 3+1DAİRE,3.400.000 TL,Manisa,Yunusemre,Barbaros Mah.,Manisa / Yunusemre / Barbaros Mah.,3 + 1,120,1,3. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Boş,Müstakil Tapulu,-,etin,100 TL,...,Hayır,İçi Sıfır 1+1 Daire ⭕️,Hatırlatmaları,Eşyalı Değil,Satılık,162591-22,25-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-barbaros-satilik/daire/162591-22,2025-12-03 18:03:55
Yunus Emre İlç Güzel Yurt Mah Akdeniz Emlak'tan Satılık 3+1 140 m2 Daire,6.970.000 TL,Manisa,Yunusemre,Guzelyurt Mah.,Manisa / Yunusemre / Guzelyurt Mah.,3 + 1,140,1,Ara Kat,12 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Güney,etin,1.500 TL,...,Hayır,Haritası,Hatırlatmaları,-,Satılık,22228-10905,19-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-satilik/daire/22228-10905,2025-12-03 18:04:21
NOVA'DAN ŞEHİTLER MAHALLESİNDE SATILIK 2+1 DAİRE,2.500.000 TL,Manisa,Turgutlu,Sehitler Mah.,Manisa / Turgutlu / Sehitler Mah.,2 + 1,70,1,2. Kat,8 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı,Satılık,123058-2335,26-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-sehitler-satilik/daire/123058-2335,2025-12-03 18:04:44
TURGUTLU ALBAYRAK TOKİLERDE FULL EKSTRALI SATILIK DAİRE,1.625.000 TL,Manisa,Turgutlu,Albayrak Mah.,Manisa / Turgutlu / Albayrak Mah.,2 + 1,80,1,3. Kat,6 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,500 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164247-55,28-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-albayrak-satilik/daire/164247-55,2025-12-03 18:05:07
BEFT GAYRİMENKUL DEN ULUPARK YAKINI CADDE ÜZERİ SATILIK FULL ARAKAT,4.950.000 TL,Manisa,Sehzadeler,Akincilar Mah.,Manisa / Sehzadeler / Akincilar Mah.,3 + 1,130,2,3. Kat,28 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162044-125,25-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-akincilar-satilik/daire/162044-125,2025-12-03 18:05:59
SALİHLİ ERDEM EMLAKTAN ŞUHEDA CADDESİ ÜZERİNDE 3+1 DUBLEKS SATILIK,5.400.000 TL,Manisa,Salihli,Kurtulus Mah.,Manisa / Salihli / Kurtulus Mah.,3 + 1,170,2,Teras Katı,7 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı,Satılık,158161-60,03-12-2025,https://www.hepsiemlak.com/manisa-salihli-kurtulus-satilik/daire/158161-60,2025-12-03 18:06:23
Akhisar Hürriyet Mahallesi'nde 3+1 Satılık Daire,4.000.000 TL,Manisa,Akhisar,Hurriyet Mah.,Manisa / Akhisar / Hurriyet Mah.,3 + 1,130,2,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,"Kuzey, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,-,Satılık,94137-1320,30-10-2025,https://www.hepsiemlak.com/manisa-akhisar-hurriyet-satilik/daire/94137-1320,2025-12-03 18:06:43
Surkent'ten satılık Albayrak tokilerde 2+1 açık mutfak daire,1.650.000 TL,Manisa,Turgutlu,Albayrak Mah.,Manisa / Turgutlu / Albayrak Mah.,2 + 1,80,1,3. Kat,8 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Güney,etin,500 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,143929-45,03-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-albayrak-satilik/daire/143929-45,2025-12-03 18:07:06
SARUHANLI CUMHURİYET MAH. ÇARŞIMERKEZ 4+1DUBLEKS DAİRE SATILIKTIR.,5.250.000 TL,Manisa,Saruhanli,Cumhuriyet Mah.,Manisa / Saruhanli / Cumhuriyet Mah.,4 + 1,200,2,4. Kat,8 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney",etin,275 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,106564-476,06-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cumhuriyet-satilik/daire/106564-476,2025-12-03 18:07:23
3 ADAM EMLAK'TAN EFENDİ RİNG YOLU 3+1 SATILIK GENİŞ DAİRE,4.100.000 TL,Manisa,Akhisar,Efendi Mah.,Manisa / Akhisar / Efendi Mah.,3 + 1,165,2,7. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,143910-160,25-11-2025,https://www.hepsiemlak.com/manisa-akhisar-efendi-satilik/daire/143910-160,2025-12-03 18:07:44
ARAS YAPI'DAN SİTE İÇERİSİNDE HAVUZLU 1+1 SATILIK SIFIR DAİRE,3.250.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,1 + 1,60,1,5. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,159142-91,22-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/159142-91,2025-12-03 18:08:06
ERSOY'DAN CUMHURİYET MH 3+1 Y.ZEMİN K.MUTFAK FULL DAİRE,3.550.000 TL,Manisa,Yunusemre,Cumhuriyet Mah.,Manisa / Yunusemre / Cumhuriyet Mah.,3 + 1,130,1,Yüksek Giriş,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,114523-419,19-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-cumhuriyet-satilik/daire/114523-419,2025-12-03 18:08:30
AKMAN GAYRİMENKUL'DEN MURADİYEDE SATILIK SIFIR ARAKAT 2+1 DAİRE,3.450.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,95,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,113243-70,19-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/113243-70,2025-12-03 18:08:57
SALİHLİ SATILIK 2+1 95 M2 DAİRE BEŞEYLÜL MAHALLESİ,3.495.000 TL,Manisa,Salihli,Beseylul Mah.,Manisa / Salihli / Beseylul Mah.,2 + 1,95,1,5. Kat,5 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat Mülkiyeti,-,etin,250 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,153067-84,15-11-2025,https://www.hepsiemlak.com/manisa-salihli-beseylul-satilik/daire/153067-84,2025-12-03 18:09:17
ÖZ DOST EMLAKTAN MURADİYEDE SATILIK FIRSAT 2+1 DAİRE,2.850.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,75,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,137460-95,15-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/137460-95,2025-12-03 18:11:16
KİRVEM EMLAK'TAN YERDEN ISITMALI 2+1 DAİRE-KAPALI MUTFAK,3.250.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,2 + 1,95,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162496-39,07-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/162496-39,2025-12-03 18:11:37
YENİMAHALLE DE SATILIK DUBLEKS,7.650.000 TL,Manisa,Yunusemre,Yeni Mah.,Manisa / Yunusemre / Yeni Mah.,5 + 2,210,2,6. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,-,etin,150 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163779-20,01-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-yeni-mahalle-satilik/daire/163779-20,2025-12-03 18:12:00
Mutlu Mahallesi'nde satılık 3+1 Yüksek Zemin daire,3.900.000 TL,Manisa,Yunusemre,Mutlu Mah.,Manisa / Yunusemre / Mutlu Mah.,3 + 1,100,1,Yüksek Giriş,11 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Kuzey,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160440-29,17-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-mutlu-satilik/daire/160440-29,2025-12-03 18:12:24
MANİSA MURADİYE'DE CADDE ÜZERİ SATILIK 2+1 SIFIR DAİRE,3.800.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,96,1,2. Kat,Sıfır Bina,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,152164-39,08-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/152164-39,2025-12-03 18:12:48
Aras Gayrimenkul'Den Kethüda Mahallesinde 3+1 Satılıktır,1.675.000 TL,Manisa,Akhisar,Kethuda Mah.,Manisa / Akhisar / Kethuda Mah.,3 + 1,115,1,4. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162211-35,03-12-2025,https://www.hepsiemlak.com/manisa-akhisar-kethuda-satilik/daire/162211-35,2025-12-03 18:13:13
Manisa Akgedik 2. Etap 1. Kısımdan Fırsat 2+1 Satılık Daire,3.900.000 TL,Manisa,Yunusemre,Akgedik Mah.,Manisa / Yunusemre / Akgedik Mah.,2 + 1,95,1,Yüksek Giriş,1 Yaşında,Merkezi (Pay Öl...,Yok,Var,Var,-,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,162754-27,29-10-2025,https://www.hepsiemlak.com/manisa-yunusemre-akgedik-satilik/daire/162754-27,2025-12-03 18:13:36
🏡 ACİL SATILIK – MANİSA MURADİYE AKGEDİK 79. BLOK 3+1 BOŞ DAİRE,3.600.000 TL,Manisa,Yunusemre,Akgedik Mah.,Manisa / Yunusemre / Akgedik Mah.,3 + 1,110,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Var,Yok,Sıfır,Boş,Kat İrtifakı,Kuzey,etin,100 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160648-29,07-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-akgedik-satilik/daire/160648-29,2025-12-03 18:14:00
Akhisar Reşat bey satılık daire,3.650.000 TL,Manisa,Akhisar,Resat Mah.,Manisa / Akhisar / Resat Mah.,2 + 1,95,1,1. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,Yapım Aşamasınd...,Boş,Kat Mülkiyeti,-,etin,-,...,-,Haritası,Hatırlatmaları,-,Satılık,160589-26,24-11-2025,https://www.hepsiemlak.com/manisa-akhisar-resat-bey-satilik/daire/160589-26,2025-12-03 18:14:20
TURGUTLU'DA BAYRAMYERİ'NDE SATILIK DÜKKAN,2.900.000 TL,Manisa,Turgutlu,Kurtulus Mah.,Manisa / Turgutlu / Kurtulus Mah.,1 + 0,45,1,Zemin,28 Yaşında,Klima,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,etin,-,...,-,sinde 2+1 Satılık Köşe Daire,Hatırlatmaları,-,Satılık,141766-278,14-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-kurtulus-satilik/daire/141766-278,2025-12-03 18:14:43
SALİHLİ CİN EMLAK'TAN YEŞİLYURT MAH SATILIK 5+1 175 M2 DUBLEKS,5.100.000 TL,Manisa,Salihli,Yesilyurt Mah.,Manisa / Salihli / Yesilyurt Mah.,1 + 1,175,2,5. Kat,5 Yaşında,Klima,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,"Güney, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,37897-2533,09-10-2025,https://www.hepsiemlak.com/manisa-salihli-yesilyurt-satilik/daire/37897-2533,2025-12-03 18:15:33
ALAŞEHİR ŞEYHSİNAN MAH MUSTAKİL LÜKS BİNA SATILIK,5.300.000 TL,Manisa,Alasehir,Seyh Mah.,Manisa / Alasehir / Seyh Mah.,4 + 1,450,-,-,10 Yaşında,Soba,Yok,Yok,Yok,Sıfır,Boş,Kat İrtifakı,-,etin,1 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,155862-24,20-11-2025,https://www.hepsiemlak.com/manisa-alasehir-seyh-sinan-satilik/bina/155862-24,2025-12-03 18:15:55
MANİSA YUNUSEMRE KÜME EVLERİNDE SATILIK GENİŞ 3+1 DAİRE,4.200.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,3 + 1,160,2,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,"Kuzey, Doğu",etin,900 TL,...,-,İçerisinde,Hatırlatmaları,-,Satılık,160489-7,21-10-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/160489-7,2025-12-03 18:16:16
BEYAZ GAYRIMENKULDEN MURADİYE MH 1+1 SATILIK SIFIR DAİRE,3.795.000 TL,Manisa,Yunusemre,Yagcilar Mah.,Manisa / Yunusemre / Yagcilar Mah.,1 + 1,70,-,6. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",etin,300 TL,...,Hayır,Satılık 2+1 Daire,Hatırlatmaları,Eşyalı Değil,Satılık,119915-507,12-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-yagcilar-satilik/daire/119915-507,2025-12-03 18:16:39
ALAŞEHİR SEVGİYOLU YANI KONUMU GÜZEL DAİRE,2.090.000 TL,Manisa,Alasehir,Sakarya Mah.,Manisa / Alasehir / Sakarya Mah.,2 + 1,110,1,4. Kat,31 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,117872-1218,24-11-2025,https://www.hepsiemlak.com/manisa-alasehir-sakarya-satilik/daire/117872-1218,2025-12-03 18:16:58
ERGENEKON MAHALLESİNDE MERKEZİ KONUMDA SATILIK TRİPLEKS,16.500.000 TL,Manisa,Turgutlu,Ergenekon Mah.,Manisa / Turgutlu / Ergenekon Mah.,4 + 1,255,2,Villa Katı,11 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,156788-212,02-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-ergenekon-satilik/daire/156788-212,2025-12-03 18:17:20
AYNİ ALİ MAHALLESİNDE 3+1 ÖNÜ AÇIK ASANSÖRLÜ SATILIK DAİRE,4.750.000 TL,Manisa,Yunusemre,Ayni Mah.,Manisa / Yunusemre / Ayni Mah.,3 + 1,125,1,2. Kat,16 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163565-105,17-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-ayni-ali-satilik/daire/163565-105,2025-12-03 18:17:42
ÇATALÇEŞME PARKI CİVARI SATILIK 3+1 115 m2 SIFIR DAİRE !!!,3.100.000 TL,Manisa,Turgutlu,Turan Mah.,Manisa / Turgutlu / Turan Mah.,3 + 1,120,1,Zemin,1 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,161345-13,14-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-turan-satilik/daire/161345-13,2025-12-03 18:18:03
FİT GAYRİMENKUL'DEN 2+1 SATILIK DAİRE,3.100.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,2 + 1,100,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163843-18,14-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/163843-18,2025-12-03 18:18:28
TURYAP'TAN MANİSA ŞEHZADELER ÇARŞIDA 3+1 LÜX DAİRE FİYAT DÜŞTÜ,5.500.000 TL,Manisa,Sehzadeler,1 Mah.,Manisa / Sehzadeler / 1 Mah.,3 + 1,200,2,1. Kat,21 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,"Doğu, Batı",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,158110-267,21-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-1-anafartalar-satilik/daire/158110-267,2025-12-03 18:18:52
Maraşal fevzi Çakmak mahallesi,3.750.000 TL,Manisa,Yunusemre,Maresal Mah.,Manisa / Yunusemre / Maresal Mah.,2 + 1,200,1,Bahçe Katı,16 Yaşında,Soba,Yok,Yok,Var,-,Boş,Müstakil Tapulu,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,161356-33,04-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-maresal-fevzi-cakmak-satilik/mustakil-ev/161356-33,2025-12-03 18:19:41
ATATÜRK MAH. SATILIK 3+1 140 M2 DAİRE,3.900.000 TL,Manisa,Akhisar,Ataturk Mah.,Manisa / Akhisar / Ataturk Mah.,3 + 1,140,1,2. Kat,11 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,"Kuzey, Güney",etin,100 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163257-27,06-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ataturk-satilik/daire/163257-27,2025-12-03 18:20:02
SATLIK YÖRÜKTE 5+1 280M2 ÖZEL OTOPARKLI ÇİFT MUTFAKLI LÜKS DAİRE,11.000.000 TL,Manisa,Salihli,Yoruk Mah.,Manisa / Salihli / Yoruk Mah.,5 + 1,280,3,Çatı Katı,3 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,"Kuzey, Doğu, Batı",etin,1 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,150639-39,14-10-2025,https://www.hepsiemlak.com/manisa-salihli-yoruk-satilik/daire/150639-39,2025-12-03 18:20:22
HOROZKÖY'de SATILIK EŞYALI 1+1 DAİRE,2.270.000 TL,Manisa,Yunusemre,Ataturk Mah.,Manisa / Yunusemre / Ataturk Mah.,1 + 1,50,1,Yüksek Giriş,4 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Güney,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı,Satılık,104090-4,26-10-2025,https://www.hepsiemlak.com/manisa-yunusemre-ataturk-satilik/daire/104090-4,2025-12-03 18:20:46
Çarşı Mahallesi Satılık 3+1 148 M2 Daire,3.725.000 TL,Manisa,Sehzadeler,Carsi Mah.,Manisa / Sehzadeler / Carsi Mah.,3 + 1,165,1,5. Kat,26 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat Mülkiyeti,"Doğu, Batı",etin,-,...,Evet,İçerisinde Satılık Arakat Daire,Hatırlatmaları,Eşyalı Değil,Satılık,102443-805,20-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-carsi-satilik/daire/102443-805,2025-12-03 18:21:04
SİNAN EMLAK'TAN YEDİEYLÜL MAHALLESİNDE SATILIK DAİRE,2.450.000 TL,Manisa,Turgutlu,Yedi Mah.,Manisa / Turgutlu / Yedi Mah.,3 + 0,110,1,4. Kat,16 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Batı,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,159995-58,11-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-yedi-eylul-satilik/daire/159995-58,2025-12-03 18:21:25
MANİSA SARUHANLIDA KAÇIRILMAYACAK FIRSAT!,2.250.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,-,-,-,-,-,-,Yok,Yok,Yok,-,-,-,-,etin,-,-,-,Haritası,-,-,-,152909-30,17-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/152909-30,2025-12-03 18:21:46
MANİSA TURGUTLU TURAN MH 3+1 DOĞALGAZLI DAİRE,3.300.000 TL,Manisa,Turgutlu,Turan Mah.,Manisa / Turgutlu / Turan Mah.,3 + 1,125,1,En Üst Kat,15 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,"Doğu, Batı",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,94181-708,07-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-turan-satilik/daire/94181-708,2025-12-03 18:22:08
MERKEZ EFENDİ MAHALLESİNDE 3+1 SATILIK DAİRE,4.000.000 TL,Manisa,Yunusemre,Merkez Mah.,Manisa / Yunusemre / Merkez Mah.,3 + 1,135,1,4. Kat,26 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,94966-808,14-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-merkez-efendi-satilik/daire/94966-808,2025-12-03 18:22:27
Manisa Yunusemre Tefikiye Mh 2+1 100 M2 Asansörlü Full Daire,3.650.000 TL,Manisa,Yunusemre,Merkez Mah.,Manisa / Yunusemre / Merkez Mah.,2 + 1,110,1,En Üst Kat,25 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",etin,200 TL,...,Evet,içi 2+1 Satılık Daire ⭕️,Hatırlatmaları,Eşyalı Değil,Satılık,95753-1904,06-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-merkez-efendi-satilik/daire/95753-1904,2025-12-03 18:22:47
"ŞEHZADELER, UTKU MAH. İÇİ KOMPLE YENİLENMİŞ SATILIK ASANSÖRLÜ DAİRE",4.950.000 TL,Manisa,Sehzadeler,Utku Mah.,Manisa / Sehzadeler / Utku Mah.,3 + 1,120,1,1. Kat,35 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Güney,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,64671-822,23-10-2025,https://www.hepsiemlak.com/manisa-sehzadeler-utku-satilik/daire/64671-822,2025-12-03 18:23:41
MANİSA AHMETLİDE SİTE İÇİNDE LÜKS DAİRELER,3.350.000 TL,Manisa,Ahmetli,Ulu Mah.,Manisa / Ahmetli / Ulu Mah.,3 + 1,136,1,7. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164247-9,21-11-2025,https://www.hepsiemlak.com/manisa-ahmetli-ulu-cami-satilik/daire/164247-9,2025-12-03 18:24:05
