Baslik,Fiyat,Il,Ilce,Mahalle,Konum,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Cephe,Yön,Aidat,Krediye Uygun,Takas,Site İçinde,Güvenlik,Eşya Durumu,İlan Durumu,Ilan_No,Ilan_Tarihi,Link,Cekilme_Tarihi
BEFT GAYRİMENKULDEN ALAYBEY MH SATILIK DOĞALGAZLI ARAKAT DAIRE,3.800.000 TL,Manisa,Sehzadeler,Alaybey Mah.,Manisa / Sehzadeler / Alaybey Mah.,3 + 1,135,1,3. Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162044-121,01-12-2025,https://www.hepsiemlak.com/manisa-sehzadeler-alaybey-satilik/daire/162044-121,2025-12-03 18:24:26
MUSTAFA BAŞYİĞİT EMLAK'TAN MEDAR SAKLI KENT VİLLALARINDA 3 KATLI,7.550.000 TL,Manisa,Akhisar,Medar Mah.,Manisa / Akhisar / Medar Mah.,5 + 1,350,3,Bahçe Katı,6 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",etin,1.000 TL,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,162406-160,02-12-2025,https://www.hepsiemlak.com/manisa-akhisar-medar-satilik/villa/162406-160,2025-12-03 18:24:48
CUMHURİYET MAHALLESİNDE SATILIK 2+1 DAİRE + DEV TERAS,2.375.000 TL,Manisa,Akhisar,Cumhuriyet Mah.,Manisa / Akhisar / Cumhuriyet Mah.,2 + 1,140,1,2. Kat,5 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,sinde Bireysel Otoparklı 2+1 Satılık Daire.,Hatırlatmaları,Eşyalı Değil,Satılık,158857-21,17-11-2025,https://www.hepsiemlak.com/manisa-akhisar-cumhuriyet-satilik/daire/158857-21,2025-12-03 18:25:08
ACİL ACİL FİYAT DÜŞTÜ TEFİKİYE CADDE ÜSTÜ SATILIK DAİRE,3.000.000 TL,Manisa,Yunusemre,Tevfikiye Mah.,Manisa / Yunusemre / Tevfikiye Mah.,3 + 1,120,1,5. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Boş,Müstakil Tapulu,-,etin,200 TL,...,Hayır,İçi Sıfır 1+1 Daire ⭕️,Hatırlatmaları,Eşyalı Değil,Satılık,162591-23,03-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-tevfikiye-satilik/daire/162591-23,2025-12-03 18:25:32
Manisa'da Satılık Site içi Yüzme havuzlu daire,4.450.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,100,1,Zemin,4 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Güney,etin,-,...,Evet,içi Yüzme havuzlu daire,Hatırlatmaları,Eşyalı Değil,Satılık,163108-4,15-10-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/163108-4,2025-12-03 18:25:52
Akhisar Atatürk Mahallesi'nde 2+1 Satılık Daire,4.000.000 TL,Manisa,Akhisar,Ataturk Mah.,Manisa / Akhisar / Ataturk Mah.,2 + 1,95,2,1. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,Sıfır,Boş,Kat İrtifakı,Kuzey,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,94137-1314,30-10-2025,https://www.hepsiemlak.com/manisa-akhisar-ataturk-satilik/daire/94137-1314,2025-12-03 18:26:11
3 ADAM EMLAK'TAN ULUCAMİ MH 4+1 SATILIK DUBLEKS DAİRE,3.950.000 TL,Manisa,Akhisar,Ulu Mah.,Manisa / Akhisar / Ulu Mah.,4 + 1,170,2,3. Kat,2 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,143910-159,24-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-satilik/daire/143910-159,2025-12-03 18:26:30
ULUCAMİ PALMİYE SOKAKTA SATILIK 2+1 DAİRE,3.000.000 TL,Manisa,Akhisar,Ulu Mah.,Manisa / Akhisar / Ulu Mah.,2 + 1,105,1,Zemin,11 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163472-17,20-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-satilik/daire/163472-17,2025-12-03 18:26:57
ERSOYDAN AKGEDİK TOKİ 3.ETAP 3+1 FIRSAT DAİRE,3.799.000 TL,Manisa,Yunusemre,Akgedik Mah.,Manisa / Yunusemre / Akgedik Mah.,3 + 1,125,1,Kot 1,Sıfır Bina,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,114523-418,24-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-akgedik-satilik/daire/114523-418,2025-12-03 18:27:38
ARAS YAPI'DAN CUMHURİYET OKULU CİVARI ARA KAT SATILIK 1+1 DAİRE,2.350.000 TL,Manisa,Yunusemre,Evrenos Mah.,Manisa / Yunusemre / Evrenos Mah.,1 + 1,50,1,2. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,159142-88,19-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-evrenos-satilik/daire/159142-88,2025-12-03 18:27:59
