Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Yunusemre,170,2,11,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,5750000.0,3,1,4.0,3,0,1,0,0
Salihli,110,1,50,0,0,0,Kat İrtifakı,-,Eşyalı Değil,2350000.0,3,1,3.0,1,0,1,0,0
Yunusemre,85,1,5,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1,0.5,3,0,1,0,0
Salihli,120,1,21,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı,2725000.0,3,1,3.0,1,0,0,1,0
Yunusemre,100,1,4,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,5750000.0,2,1,5.0,3,0,0,1,0
Yunusemre,130,1,15,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4700000.0,3,1,3.0,3,0,0,0,1
Akhisar,108,1,1,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2780000.0,2,1,2.0,3,0,1,0,0
Turgutlu,110,1,30,0,0,0,Kat Mülkiyeti,-,Eşyalı Değil,1750000.0,2,1,3.0,1,0,1,0,0
Turgutlu,102,1,4,0,0,0,Kat İrtifakı,Evet,Eşyalı,2850000.0,2,1,3.0,3,0,1,0,0
Soma,110,1,4,0,0,1,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,3,1,1.0,2,0,1,0,0
Turgutlu,135,1,15,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0,3,1,0.0,3,0,0,1,0
Salihli,87,1,5,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1,5.0,3,0,0,0,1
Yunusemre,120,3,0,1,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,5700000.0,3,1,3.0,1,2,1,0,0
Yunusemre,150,2,4,0,1,0,Kat Mülkiyeti,Hayır,-,10400000.0,3,1,0.5,1,0,0,0,1
Turgutlu,105,1,11,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0,2,1,0.0,3,0,1,0,0
Akhisar,130,1,26,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2100000.0,3,1,1.0,3,0,0,1,0
