Ilce,M2,Banyo,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat
Turgutlu,85,1,21,Klima,1,0,0,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı,1750000.0,2,1,3.0
Yunusemre,170,2,0,Kombi,0,0,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,18500000.0,4,1,0.0
Akhisar,95,1,28,Kombi,0,0,0,-,-,Müstakil Tapulu,-,-,1350000.0,2,1,5.0
Yunusemre,125,1,21,Kombi,0,1,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3650000.0,3,1,5.0
Turgutlu,201,2,11,Kombi,0,1,0,-,Kiracılı,Kat İrtifakı,Evet,-,2950000.0,2,2,4.0
Salihli,95,1,4,Jeotermal Isıtm...,0,0,1,İkinci El,Boş,Kat Mülkiyeti,Hayır,-,3250000.0,2,1,4.0
Akhisar,125,1,30,Kombi,0,0,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1875000.0,3,1,4.0
Salihli,269,1,16,Doğalgaz Sobası,0,1,1,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,6950000.0,3,1,0.0
Akhisar,175,1,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,6800000.0,3,1,4.0
Turgutlu,145,1,11,Kombi,1,1,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4499000.0,3,1,0.5
Akhisar,135,1,9,Kombi,0,1,0,İkinci El,Belirtilmemiş,Kat İrtifakı,Hayır,-,9000000.0,4,2,3.0
Yunusemre,130,1,5,Kombi,1,1,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4950000.0,3,1,3.0
Sehzadeler,125,2,28,Kombi,0,1,0,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0,3,1,5.0
Turgutlu,160,1,6,Kombi,0,1,1,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2250000.0,3,1,0.0
Yunusemre,196,1,11,Klima,0,1,0,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,5000000.0,3,1,3.0
Soma,135,2,7,Kombi,1,0,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2975000.0,3,1,2.0
Yunusemre,90,2,0,Yerden Isıtma,1,0,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1,2.0
Akhisar,160,2,4,Kombi,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5500000.0,3,1,1.0
Akhisar,170,2,3,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4100000.0,4,1,3.0
Yunusemre,135,1,6,-,0,0,0,-,-,-,-,-,3550000.0,3,1,3.0
Turgutlu,135,2,0,Yerden Isıtma,1,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5650000.0,3,1,3.0
Turgutlu,100,1,31,Kombi,0,0,0,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0,2,1,2.0
Salihli,95,1,0,Kombi,1,1,1,Sıfır,-,Kat Mülkiyeti,Hayır,-,2850000.0,2,1,3.0
Sehzadeler,130,1,25,Kombi,1,1,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4500000.0,3,1,3.0
Turgutlu,130,1,11,Kombi,1,1,1,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,2,1,4.0
Sehzadeler,195,3,6,Kat Kaloriferi,1,0,1,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,7650000.0,5,2,1.0
Saruhanli,55,1,0,Kombi,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,1995000.0,1,1,0.5
Turgutlu,100,1,0,Yerden Isıtma,1,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0,2,1,1.0
Sehzadeler,180,1,25,Kombi,1,1,0,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,4990000.0,3,1,3.0
Sehzadeler,115,1,25,Kombi,0,1,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3975000.0,2,1,3.0
Sehzadeler,100,1,31,Kombi,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,5300000.0,2,1,2.0
Sehzadeler,155,2,28,Kombi,1,1,0,-,-,Kat Mülkiyeti,-,-,5650000.0,3,1,3.0
Akhisar,132,2,1,Kombi,0,1,1,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,4425000.0,3,1,3.0
Turgutlu,120,1,7,Kombi,0,1,0,-,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0,3,1,2.0
Alasehir,190,2,5,Kombi,1,1,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4500000.0,3,1,4.0
Akhisar,109,1,40,Soba,0,0,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1150000.0,3,1,3.0
Yunusemre,115,1,25,Kombi,0,1,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4450000.0,3,1,2.0
Akhisar,128,2,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,6750000.0,3,1,1.0
Yunusemre,95,1,5,Kombi,1,0,1,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3600000.0,2,1,2.0
Turgutlu,129,1,11,Kombi,0,1,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4300000.0,3,1,4.0
Yunusemre,170,1,15,Kombi,0,0,1,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,8200000.0,3,1,1.0
Salihli,130,1,30,Doğalgaz Sobası,0,0,1,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3000000.0,3,1,0.0
Turgutlu,110,1,11,Kombi,0,1,0,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1,4.0
Akhisar,300,2,3,Kombi,0,1,1,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,4850000.0,6,1,3.0
Akhisar,270,3,1,Kombi,0,0,1,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4800000.0,5,1,3.0
Salihli,125,1,26,Soba,0,1,1,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3850000.0,3,1,2.0
Sehzadeler,125,1,30,Kombi,1,1,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3450000.0,3,1,0.5
Turgutlu,190,2,26,Doğalgaz Sobası,0,0,0,-,Kiracılı,Müstakil Tapulu,Evet,Eşyalı Değil,2990000.0,5,1,0.0
Yunusemre,435,1,34,Soba,0,1,0,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3400000.0,3,1,0.0
Turgutlu,300,3,5,Kombi,1,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,9500000.0,5,1,4.0
Yunusemre,80,1,4,Kombi,1,1,0,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3350000.0,2,1,0.5
Salihli,145,1,30,Kombi,0,0,0,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,3550000.0,3,1,1.0
Sehzadeler,120,1,30,Kombi,0,0,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4800000.0,3,1,2.0
Yunusemre,130,1,25,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4800000.0,3,1,3.0
Yunusemre,380,2,11,Kombi,0,0,0,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,15000000.0,5,1,3.0
Saruhanli,185,1,0,Kombi,1,1,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5549000.0,5,1,5.0
Turgutlu,125,2,5,Kombi,0,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,-,3950000.0,3,1,0.5
Turgutlu,135,2,0,Kombi,1,0,0,Sıfır,Boş,Kat Mülkiyeti,-,Eşyalı Değil,5500000.0,3,1,5.0
Akhisar,120,1,35,Kombi,0,0,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,1950000.0,3,1,4.0
Akhisar,282,3,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,16250000.0,6,1,0.0
Turgutlu,100,1,16,Kombi,0,0,0,-,Kiracılı,Kat Mülkiyeti,Evet,-,1900000.0,1,1,4.0
Akhisar,135,1,15,Kombi,0,1,1,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3300000.0,3,1,4.0
Saruhanli,140,1,15,Soba,0,0,0,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı,6500000.0,4,1,3.0
Akhisar,145,1,30,Klima,0,0,0,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3000000.0,3,0,0.5
Salihli,150,1,25,Kombi,1,1,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,-,3150000.0,3,1,-1.0
Yunusemre,99,1,2,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,2,1,3.0
Yunusemre,55,1,5,Kombi,0,1,0,İkinci El,Boş,Müstakil Tapulu,-,Eşyalı,2600000.0,1,1,2.0
Salihli,285,1,40,Klima,0,0,0,-,-,Müstakil Tapulu,-,-,40000.0,3,1,3.0
Saruhanli,90,1,6,Kombi,0,1,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2600000.0,2,1,3.0
Akhisar,110,1,15,Kombi,0,0,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,3200000.0,2,1,2.0
Akhisar,135,1,6,-,0,0,0,-,-,-,-,-,2350000.0,3,1,3.0
Akhisar,275,2,1,Kombi,0,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4000000.0,4,1,3.0
Sehzadeler,300,1,15,Klima,0,0,0,İkinci El,Boş,Arsa,Hayır,Eşyalı Değil,3050000.0,2,1,3.0
Yunusemre,125,1,22,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4750000.0,3,1,3.0
Turgutlu,155,1,30,Soba,0,0,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,6300000.0,3,1,3.0
Turgutlu,130,1,0,Kombi,1,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0,3,1,2.0
Sehzadeler,130,1,25,Kombi,1,1,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4500000.0,3,1,3.0
Turgutlu,120,1,26,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2250000.0,3,1,2.0
Turgutlu,150,1,21,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3860000.0,3,1,2.0
Salihli,120,1,20,Kat Kaloriferi,0,0,0,-,Mülk Sahibi,Müstakil Tapulu,Evet,-,3350000.0,2,1,3.0
Yunusemre,100,1,18,Kombi,0,0,1,-,Mülk Sahibi,Kat İrtifakı,-,Eşyalı Değil,3750000.0,2,1,0.5
Yunusemre,135,1,16,Kombi,1,0,0,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,6450000.0,3,1,5.0
Turgutlu,170,2,1,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5500000.0,3,1,1.0
Turgutlu,110,1,0,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0,2,1,4.0
Yunusemre,125,1,16,Kombi,1,1,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3900000.0,3,1,2.0
Turgutlu,95,1,21,Soba,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1620000.0,2,1,5.0
Sehzadeler,300,3,5,Kombi,0,0,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,9000000.0,5,1,5.0
Yunusemre,130,3,0,Isı Pompası,0,0,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,14000000.0,3,1,0.0
Yunusemre,95,1,6,Kombi,0,1,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1,3.0
Yunusemre,85,1,0,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3250000.0,2,1,3.0
Saruhanli,116,1,0,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0,2,1,4.0
Salihli,140,1,10,Kombi,1,1,1,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3650000.0,3,1,2.0
Akhisar,295,3,14,Kombi,1,1,1,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3750000.0,4,1,4.0
Akhisar,140,2,6,Kombi,1,1,1,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3850000.0,3,1,6.0
Yunusemre,306,1,35,Isıtma Yok,0,0,0,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı,3500000.0,2,1,3.0
Sehzadeler,85,1,25,Kombi,1,0,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,2,1,2.0
Yunusemre,57,1,0,Kombi,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3750000.0,1,1,2.0
Akhisar,300,2,3,Kombi,0,1,1,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,4850000.0,6,1,3.0
Turgutlu,125,1,6,Kombi,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,3,1,4.0
Turgutlu,160,2,0,Merkezi,1,1,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4750000.0,3,1,2.0
Sehzadeler,115,1,38,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3590000.0,3,1,5.0
Salihli,99,1,23,Kombi,1,1,0,-,-,Kat Mülkiyeti,Hayır,-,2575000.0,2,1,2.0
Yunusemre,125,1,21,Kombi,1,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4275000.0,3,1,1.0
Yunusemre,91,1,5,Kombi,1,0,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3750000.0,2,1,2.0
Yunusemre,80,1,2,Kombi,1,1,1,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,5800000.0,2,1,0.5
Salihli,220,2,11,Jeotermal Isıtm...,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,4,1,2.0
Akhisar,135,2,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0,2,1,2.0
Yunusemre,125,2,0,Yerden Isıtma,1,0,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6550000.0,3,1,0.5
Yunusemre,90,1,16,Kombi,0,0,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0,2,1,0.5
Turgutlu,86,1,0,Kombi,1,0,1,Sıfır,Boş,Kat İrtifakı,Evet,-,3800000.0,2,1,1.0
Yunusemre,90,1,11,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3180000.0,2,1,2.0
Turgutlu,120,1,4,Merkezi (Pay Öl...,1,0,0,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3800000.0,2,1,10.0
Ahmetli,350,3,14,Soba,0,0,0,-,-,Müstakil Tapulu,Evet,-,6500000.0,7,0,0.0
Yunusemre,90,1,23,Kombi,1,1,0,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3740000.0,2,1,3.0
Alasehir,126,2,0,Kombi,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4500000.0,3,1,0.5
Yunusemre,480,3,16,Kombi,0,0,0,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,35000000.0,7,1,3.0
Akhisar,137,1,25,Kombi,0,0,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1800000.0,3,1,5.0
Turgutlu,78,1,0,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3449000.0,1,1,1.0
Sehzadeler,160,2,13,Kombi,1,1,0,İkinci El,Belirtilmemiş,Kat Mülkiyeti,Hayır,-,4990000.0,4,1,5.0
Saruhanli,60,1,0,Kombi,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2250000.0,2,1,0.5
Turgutlu,90,1,6,Isıtma Yok,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,1950000.0,2,1,0.0
Salihli,140,1,35,Klima,0,1,0,İkinci El,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,2800000.0,3,1,5.0
Turgutlu,85,1,6,Kombi,0,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1440000.0,2,1,4.0
Turgutlu,116,1,0,Yerden Isıtma,1,1,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0,3,1,4.0
Sehzadeler,145,1,12,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,6300000.0,3,1,6.0
Salihli,140,1,5,Kombi,0,1,1,-,-,Kat Mülkiyeti,-,Eşyalı Değil,5200000.0,3,1,3.0
Akhisar,120,2,16,Kombi,0,1,0,-,Boş,Hisseli Tapu,Hayır,Eşyalı Değil,2700000.0,2,1,0.5
Sehzadeler,110,1,25,Kombi,0,1,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1,2.0
Sehzadeler,85,1,25,Kombi,1,1,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2849000.0,2,1,2.0
Yunusemre,50,1,0,Kombi,1,1,1,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,2750000.0,1,1,2.0
Sehzadeler,40,1,0,Kombi,1,1,0,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3350000.0,1,1,4.0
Akhisar,140,1,4,Kombi,0,1,1,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3450000.0,3,1,2.0
Akhisar,140,1,26,Kombi,0,0,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,2350000.0,3,1,4.0
Turgutlu,135,1,16,Kombi,1,0,0,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,4000000.0,3,1,4.0
Yunusemre,110,1,21,Kombi,1,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0,2,1,0.0
Yunusemre,220,2,1,Kombi,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4500000.0,4,1,5.0
Turgutlu,170,2,0,Merkezi (Pay Öl...,1,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1,3.0
Soma,116,1,30,Soba,0,0,1,-,Boş,Müstakil Tapulu,-,Eşyalı Değil,1375000.0,2,1,3.0
Turgutlu,155,2,0,Yerden Isıtma,1,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,6000000.0,3,1,6.0
Sehzadeler,120,1,16,Kombi,1,1,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4250000.0,3,1,5.0
Turgutlu,132,1,11,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2475000.0,2,1,1.0
Turgutlu,135,1,21,Isıtma Yok,0,0,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2395000.0,3,1,1.0
Turgutlu,112,1,21,Soba,1,0,0,-,Boş,Kat Mülkiyeti,Evet,-,1750000.0,3,1,5.0
Yunusemre,95,1,6,Kombi,1,1,1,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6650000.0,3,1,2.0
Turgutlu,125,1,0,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,3,1,4.0
Turgutlu,135,2,0,Yerden Isıtma,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0,3,1,2.0
Sehzadeler,200,1,35,Kombi,0,1,1,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,-,5500000.0,3,1,2.0
Salihli,240,2,25,Isıtma Yok,1,0,0,-,-,Kat Mülkiyeti,düşünülmemektedir.,-,2500000.0,5,1,1.0
Akhisar,176,3,0,Yerden Isıtma,1,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,10500000.0,4,1,0.0
Yunusemre,55,1,1,Kombi,1,0,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı,3600000.0,1,1,2.0
Sehzadeler,140,1,15,Kombi,1,1,1,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,4300000.0,3,1,3.0
Yunusemre,115,1,31,Kombi,0,0,0,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,4600000.0,2,1,0.5
Sehzadeler,100,1,30,Kombi,0,1,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2550000.0,2,1,5.0
Yunusemre,94,2,4,Kombi,0,1,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6200000.0,2,1,2.0
Turgutlu,130,1,6,Kombi,1,0,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1,4.0
Sehzadeler,170,1,11,Kombi,0,0,1,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3900000.0,3,1,0.0
Salihli,85,1,6,Kombi,0,1,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,-,2400000.0,2,1,4.0
Sehzadeler,105,1,31,Kombi,1,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0,3,1,4.0
Akhisar,165,2,11,Kombi,0,1,0,-,Mülk Sahibi,Kat İrtifakı,Evet,-,5000000.0,4,1,2.0
Turgutlu,175,1,13,Kombi,0,0,0,İkinci El,-,Kat Mülkiyeti,Hayır,-,4920000.0,3,1,2.0
Sehzadeler,130,1,15,Kombi,1,1,0,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3550000.0,3,1,5.0
Turgutlu,280,3,0,Yerden Isıtma,1,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,11450000.0,5,2,6.0
Turgutlu,140,1,21,Isıtma Yok,0,0,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2450000.0,3,1,3.0
Akhisar,115,1,4,Kombi,0,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3250000.0,2,1,5.0
Turgutlu,140,1,0,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4350000.0,3,1,3.0
Turgutlu,125,1,0,Kombi,0,1,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5600000.0,3,1,2.0
Sehzadeler,170,1,25,Kombi,0,1,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,8500000.0,3,1,3.0
Salihli,105,1,25,Soba,0,0,0,İkinci El,Boş,Arsa,-,Eşyalı Değil,4500000.0,2,1,3.0
Akhisar,258,2,35,Soba,0,0,0,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,1750000.0,4,1,3.0
Yunusemre,80,1,25,Kombi,0,0,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3675000.0,2,1,0.5
Akhisar,190,2,0,Yerden Isıtma,0,0,0,-,-,Kat İrtifakı,Hayır,Eşyalı Değil,5600000.0,3,1,4.0
Yunusemre,50,1,0,Kombi,0,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0,1,1,2.0
Turgutlu,95,1,11,Kombi,0,1,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2650000.0,2,1,1.0
Turgutlu,95,2,2,Yerden Isıtma,1,1,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3700000.0,2,1,2.0
Sehzadeler,310,2,6,Kombi,1,0,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,11500000.0,6,1,4.0
Turgutlu,130,1,31,Kombi,1,0,1,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,3,1,5.0
Turgutlu,160,1,13,Kombi,0,0,0,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3100000.0,3,1,2.0
Yunusemre,250,2,6,Kombi,1,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5450000.0,5,1,5.0
Yunusemre,130,1,21,Kombi,1,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,3,1,3.0
Turgutlu,100,1,0,Kombi,1,0,1,-,Boş — hemen taşınılabilir!,Kat İrtifakı,Evet,Eşyalı Değil,2750000.0,2,1,0.0
Yunusemre,240,2,6,Kombi,0,1,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4250000.0,4,1,3.0
Yunusemre,65,1,10,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3725000.0,1,1,2.0
Akhisar,280,3,0,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,7500000.0,5,1,3.0
Yunusemre,105,1,26,Kombi,0,1,0,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,3790000.0,2,1,6.0
Yunusemre,135,1,6,-,0,0,0,-,-,-,-,-,4125000.0,3,1,3.0
Salihli,325,3,20,Kat Kaloriferi,1,0,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,-,5350000.0,4,1,3.0
Turgutlu,150,1,27,Kombi,0,0,0,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3700000.0,3,1,4.0
Akhisar,145,2,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4150000.0,3,1,7.0
Yunusemre,84,1,4,Kombi,0,0,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3100000.0,2,1,2.0
Saruhanli,115,1,6,Kombi,0,1,0,-,Boş,Kat İrtifakı,Hayır,-,3100000.0,2,1,3.0
Turgutlu,280,2,0,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,10250000.0,5,2,4.0
Yunusemre,235,3,16,Kombi,0,0,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,13500000.0,5,1,1.0
Sehzadeler,90,1,30,Soba,0,0,0,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,1275000.0,2,0,3.0
Sehzadeler,160,1,26,Kombi,0,1,0,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,4000000.0,3,1,2.0
