Ilce,M2,Banyo,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat
Yunusemre,100,1,4,Kombi,0,1,1,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,5750000.0,2,1,5.0
Yunusemre,130,1,15,Kombi,1,1,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,4700000.0,3,1,3.0
Akhisar,108,1,1,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2780000.0,2,1,2.0
Turgutlu,110,1,30,Soba,0,0,0,-,Boş,Kat Mülkiyeti,-,Eşyalı Değil,1750000.0,2,1,3.0
Turgutlu,102,1,4,Kombi,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı,2850000.0,2,1,3.0
Soma,110,1,4,Merkezi,0,0,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,3,1,1.0
Turgutlu,135,1,15,Kombi,1,1,1,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0,3,1,0.0
Salihli,87,1,5,Kombi,1,1,1,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1,5.0
Yunusemre,120,3,0,Klima,1,0,1,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5700000.0,3,1,3.0
Yunusemre,150,2,4,Güneş Enerjisi,0,1,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,10400000.0,3,1,0.5
Turgutlu,105,1,11,Kombi,0,1,1,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0,2,1,0.0
Akhisar,130,1,26,Kombi,1,0,0,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2100000.0,3,1,1.0
Akhisar,140,2,26,Kombi,1,1,0,-,Boş,Tapu Yok,Hayır,Eşyalı Değil,2450000.0,3,1,4.0
Akhisar,130,1,26,Soba,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1750000.0,3,1,0.0
Sehzadeler,119,1,31,Soba,0,0,0,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,2100000.0,2,1,0.0
Akhisar,226,1,32,Soba,0,0,0,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,810000.0,3,1,3.0
Akhisar,130,1,26,Soba,0,0,0,-,Kiracılı,Kat İrtifakı,Hayır,-,1975000.0,3,1,3.0
Saruhanli,354,1,32,Klima,0,0,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı,1780000.0,2,1,0.5
Salihli,160,1,21,Kombi,1,1,1,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2750000.0,3,1,5.0
Salihli,174,2,3,Belirtilmemiş,0,0,0,İkinci El,Mülk Sahibi,Arsa,Evet,Eşyalı Değil,7300000.0,2,1,3.0
Turgutlu,100,1,20,Kombi,0,0,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2099000.0,2,1,4.0
Akhisar,130,1,21,Kombi,0,0,0,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı,1980000.0,3,1,0.0
Ahmetli,145,1,5,Kombi,0,1,0,-,-,Kat İrtifakı,-,-,2900000.0,3,1,0.5
Akhisar,220,2,11,Kombi,0,1,1,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,5,1,2.0
Sehzadeler,120,1,26,Kombi,1,0,0,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,3450000.0,1,1,0.0
Turgutlu,110,1,7,Kombi,1,0,0,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1,3.0
Salihli,60,1,10,Klima,0,0,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,1900000.0,1,1,3.0
Yunusemre,220,2,2,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,13500000.0,4,1,3.0
Turgutlu,280,3,0,Yerden Isıtma,0,1,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,8500000.0,5,1,6.0
Akhisar,140,1,6,Kombi,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3075000.0,3,1,3.0
Salihli,90,1,0,Kombi,1,1,1,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3675000.0,2,1,5.0
Kirkagac,120,2,0,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,3,1,2.0
Akhisar,140,1,7,Kombi,0,0,1,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1,2.0
Saruhanli,90,1,1,Kombi,0,1,0,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,2750000.0,2,1,3.0
Yunusemre,110,1,4,Kombi,1,1,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0,2,1,0.5
Yunusemre,60,1,3,Kombi,0,0,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,1,1,0.0
Akhisar,130,2,0,Kombi,0,0,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,2,1,1.0
Akhisar,115,1,0,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2585000.0,2,1,3.0
Akhisar,290,1,25,Soba,0,0,0,İkinci El,Kiracılı,Müstakil Tapulu,-,Eşyalı Değil,1580000.0,2,1,3.0
Sehzadeler,120,1,50,Merkezi,1,1,0,İkinci El,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1,5.0
Soma,460,1,25,Soba,0,0,1,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,1850000.0,2,1,3.0
Sehzadeler,231,1,37,Soba,0,0,1,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,4200000.0,3,1,3.0
Akhisar,280,3,5,Kombi,0,0,1,Sıfır,Boş,Kat Mülkiyeti,Evet,Eşyalı,11000000.0,4,2,3.0
Soma,300,1,21,Soba,0,1,1,-,Kiracılı,Hisseli Tapu,Hayır,-,3500000.0,2,1,0.0
Salihli,210,3,2,Kombi,1,0,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5295000.0,3,1,4.0
Salihli,50,1,8,Klima,0,1,0,-,-,Kat Mülkiyeti,-,-,1925000.0,1,1,3.0
Yunusemre,85,1,4,Kombi,0,1,1,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3175000.0,2,1,0.5
Salihli,55,1,10,Klima,0,0,0,-,Boş,Kat Mülkiyeti,-,Eşyalı,1650000.0,1,1,5.0
Yunusemre,180,2,20,Soba,0,0,0,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2700000.0,2,1,3.0
Akhisar,130,2,35,Kombi,0,0,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2150000.0,3,1,2.0
Salihli,105,1,20,Klima,1,0,0,İkinci El,Kiracılı,Kat İrtifakı,-,Eşyalı Değil,2600000.0,2,1,3.0
Sehzadeler,200,2,6,Kombi,1,0,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,9650000.0,3,1,4.0
Yunusemre,185,2,1,Kombi,0,0,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,9750000.0,3,1,5.0
Turgutlu,160,2,6,Kombi,0,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1,4.0
Yunusemre,46,1,0,Kombi,0,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,1,1,2.0
Soma,180,1,35,Jeotermal Isıtm...,1,0,0,İkinci El,Boş,Hisseli Tapu,Hayır,Eşyalı Değil,3420000.0,3,1,1.0
Saruhanli,147,2,1,Kombi,0,1,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1,4.0
Yunusemre,85,1,32,Kombi,0,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1,5.0
Koprubasi,180,1,40,Soba,0,0,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1350000.0,3,1,3.0
Turgutlu,141,1,30,Kat Kaloriferi,1,0,1,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,6500000.0,3,1,3.0
Salihli,85,1,24,Klima,0,0,0,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,4600000.0,2,1,3.0
Yunusemre,70,1,6,Kombi,1,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2849000.0,2,1,4.0
Turgutlu,120,1,6,Kombi,0,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2999000.0,3,1,4.0
Yunusemre,85,1,4,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3175000.0,2,1,3.0
Akhisar,90,3,0,Kombi,0,1,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3050000.0,2,1,2.0
Akhisar,145,1,8,Kombi,1,1,1,-,-,Müstakil Tapulu,Evet,-,2950000.0,3,1,0.5
Akhisar,70,1,0,Kombi,1,1,0,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2590000.0,2,0,1.0
Yunusemre,75,1,6,Kombi,1,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1,0.0
Yunusemre,110,1,15,Kat Kaloriferi,0,0,0,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0,2,1,3.0
Soma,100,1,0,Merkezi,1,1,0,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2750000.0,2,1,0.5
Saruhanli,285,2,5,Kombi,0,0,0,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,8650000.0,6,1,4.0
Turgutlu,150,1,26,Kombi,1,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,3,1,3.0
Akhisar,100,1,0,Kombi,0,1,1,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1,3.0
Yunusemre,240,2,20,Kombi,1,1,1,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1,5.0
Salihli,125,1,6,Kombi,1,1,1,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,3,1,5.0
Akhisar,135,1,0,Kombi,1,1,1,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,3625000.0,3,1,2.0
Yunusemre,90,1,8,Kombi,1,1,1,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,2,1,2.0
Salihli,148,1,15,Soba,0,0,1,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,6750000.0,3,1,0.0
Akhisar,150,2,0,Kombi,0,1,0,Sıfır,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,6600000.0,5,1,5.0
Demirci,65,1,9,Kat Kaloriferi,1,0,0,İkinci El,Kiracılı,Kat İrtifakı,Evet,-,1685000.0,2,1,0.0
Yunusemre,110,1,12,Kombi,1,1,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,-,3300000.0,3,1,5.0
Salihli,110,1,0,Kombi,0,0,1,Sıfır,Boş,Kat İrtifakı,-,-,4500000.0,2,1,5.0
Sehzadeler,135,1,16,Kombi,0,1,0,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5200000.0,3,1,3.0
Yunusemre,48,1,1,Merkezi (Pay Öl...,1,0,1,Sıfır,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,4850000.0,1,1,12.0
Akhisar,105,1,0,Kombi,0,1,1,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,2,1,3.0
Yunusemre,200,1,3,Kombi,0,1,0,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı,5850000.0,3,1,5.0
Yunusemre,174,2,11,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,11750000.0,4,1,3.0
Yunusemre,50,1,6,Kombi,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2350000.0,1,1,2.0
Turgutlu,155,2,0,Yerden Isıtma,1,1,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6750000.0,3,1,1.0
Salihli,85,1,0,Kombi,1,1,1,Yapım Aşamasınd...,Boş,Kat İrtifakı,Evet,-,2800000.0,2,1,1.0
Salihli,145,1,20,Jeotermal Isıtm...,1,1,1,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,4100000.0,3,1,4.0
Akhisar,90,2,0,Yerden Isıtma,1,1,1,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,3600000.0,2,1,1.0
Yunusemre,240,2,20,Kombi,1,1,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,4200000.0,4,1,5.0
Yunusemre,257,3,26,Kombi,0,0,0,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,16500000.0,4,1,0.0
Salihli,165,1,20,Soba,0,0,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1,3.0
Turgutlu,110,1,21,Kombi,0,0,0,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,2600000.0,2,1,4.0
Salihli,200,1,12,Klima,0,0,0,İkinci El,Mülk Sahibi,Hisseli Tapu,Evet,Eşyalı Değil,12000000.0,3,1,3.0
Yunusemre,83,1,12,Kombi,0,0,0,-,Belirtilmemiş,Kat Mülkiyeti,-,Eşyalı Değil,3970000.0,2,1,3.0
Yunusemre,115,1,11,Kombi,0,0,1,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6750000.0,3,1,9.0
Turgutlu,115,1,6,Kombi,0,0,0,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,2,1,0.5
Sehzadeler,140,1,26,Kombi,0,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3700000.0,3,1,4.0
