M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu,Ilce_Akhisar,Ilce_Alasehir,Ilce_Demirci,Ilce_Gordes,Ilce_Kirkagac,Ilce_Koprubasi,Ilce_Kula,Ilce_Salihli,Ilce_Sarigol,Ilce_Saruhanli,Ilce_Sehzadeler,Ilce_Selendi,Ilce_Soma,Ilce_Turgutlu,Ilce_Yunusemre
85,1,5,0,0,1,0,0,3350000.0,2,1,0.5,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,1,21,0,0,1,0,1,2725000.0,3,1,3.0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,1,4,0,1,1,0,0,5750000.0,2,1,5.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,1,15,1,1,0,1,0,4700000.0,3,1,3.0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,1,1,0,0,0,1,0,2780000.0,2,1,2.0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,30,0,0,0,0,0,1750000.0,2,1,3.0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,1,4,0,0,0,1,1,2850000.0,2,1,3.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,1,4,0,0,1,1,0,2900000.0,3,1,1.0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,1,15,1,1,1,0,0,2500000.0,3,1,0.0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,1,5,1,1,1,0,0,3400000.0,2,1,5.0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,3,0,1,0,1,0,0,5700000.0,3,1,3.0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,1,11,0,1,1,0,0,2900000.0,2,1,0.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,1,26,1,0,0,0,0,2100000.0,3,1,1.0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,26,1,1,0,0,0,2450000.0,3,1,4.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,26,0,0,0,0,0,1750000.0,3,1,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,31,0,0,0,1,0,2100000.0,2,1,0.0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
226,1,32,0,0,0,0,0,810000.0,3,1,3.0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,26,0,0,0,0,0,1975000.0,3,1,3.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,1,32,0,0,0,1,1,1780000.0,2,1,0.5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,1,21,1,1,1,0,0,2750000.0,3,1,5.0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,2,3,0,0,0,1,0,7300000.0,2,1,3.0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,1,20,0,0,0,0,0,2099000.0,2,1,4.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,1,21,0,0,0,0,1,1980000.0,3,1,0.0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1,5,0,1,0,0,0,2900000.0,3,1,0.5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2,11,0,1,1,0,0,3500000.0,5,1,2.0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
